nx	ny	nz	n2x	n2y	n2z	class_view
c	c	c	c	c	c	d
-0.443967	-0.592447	-0.672235	-0.707982	0.290497	-0.643718	robot
0.748000	-0.616833	-0.244974	0.749574	-0.550359	-0.367755	robot
-0.958185	-0.156342	-0.239664	-0.974043	-0.126757	-0.187547	vent
-0.070264	0.384332	-0.920517	-0.260789	-0.157578	-0.952448	vent
0.044050	0.046240	-0.997959	-0.210203	0.088310	-0.973661	robot
-0.458274	-0.573148	-0.679328	-0.716154	0.275474	-0.641278	robot
-0.634521	0.631149	-0.446133	-0.676828	-0.347329	-0.649051	robot
0.972598	-0.140812	-0.185000	-0.985257	-0.124788	-0.117032	vent
-0.079858	0.385869	-0.919091	-0.264519	-0.139483	-0.954240	vent
0.014337	0.080967	-0.996614	-0.247584	0.118729	-0.961564	robot
-0.444365	-0.571243	-0.690088	-0.718297	0.333504	-0.610594	robot
-0.624738	0.631409	-0.459374	0.214129	0.198861	-0.956349	robot
0.967103	-0.138264	-0.213532	-0.983612	-0.122077	-0.132681	vent
-0.116689	0.479127	-0.869954	0.254995	0.181783	-0.949701	vent
0.008598	0.077811	-0.996931	-0.233065	0.078425	-0.969294	robot
-0.465969	-0.552996	-0.690702	-0.727578	0.345372	-0.592747	robot
0.716560	-0.622831	-0.314043	0.739005	-0.574691	-0.351571	robot
0.951961	-0.169568	-0.254984	-0.974702	-0.150215	-0.165504	vent
-0.101067	0.418960	-0.902362	0.285774	0.150451	-0.946413	vent
-0.002910	0.051262	-0.998681	-0.261456	0.069046	-0.962743	robot
-0.417961	-0.566213	-0.710430	-0.700125	0.342444	-0.626543	vent
-0.617021	0.648383	-0.445965	-0.856531	-0.471549	-0.209751	robot
0.968498	-0.164538	-0.186920	-0.983329	-0.146388	-0.107862	robot
-0.063669	0.399355	-0.914583	-0.295669	-0.041084	-0.954407	robot
-0.007363	0.061086	-0.998105	-0.258347	0.083588	-0.962429	robot
0.674203	-0.706933	-0.213764	-0.556692	-0.729101	-0.398127	vent
-0.624605	0.640054	-0.447436	0.239785	-0.324506	-0.914986	robot
0.970701	-0.157786	-0.181229	-0.984723	-0.142811	-0.099624	robot
-0.055407	0.405331	-0.912490	-0.318126	-0.099234	-0.942841	robot
-0.029114	-0.141273	-0.989542	-0.253912	0.100769	-0.961964	robot
0.056404	0.159527	-0.985581	0.029077	-0.435751	-0.899598	vent
-0.623055	0.642266	-0.446426	0.216574	-0.065391	-0.974074	robot
-0.968601	0.154261	-0.194976	-0.984221	-0.139429	-0.108941	window
-0.089482	0.686573	-0.721534	-0.308020	-0.063555	-0.949255	robot
0.176854	0.462102	-0.869013	-0.286865	-0.114501	-0.951104	robot
0.045543	-0.041161	-0.998114	-0.036030	0.174147	-0.984060	robot
-0.599164	0.646070	-0.472859	-0.238719	-0.099814	-0.965945	robot
0.971625	-0.147427	-0.184960	-0.985787	-0.130303	-0.106041	window
-0.092856	0.692159	-0.715747	-0.341483	0.005399	-0.939872	robot
0.189807	0.472591	-0.860599	-0.317085	-0.057470	-0.946654	robot
0.062597	-0.099947	-0.993022	0.042457	-0.428541	-0.902524	robot
-0.580378	0.650139	-0.490389	-0.263222	-0.145004	-0.953776	robot
0.972111	-0.146929	-0.182789	-0.985405	-0.130788	-0.108954	robot
-0.072359	0.446705	-0.891751	-0.340477	-0.007751	-0.940221	robot
0.161675	0.461362	-0.872357	-0.280495	0.007465	-0.959826	robot
0.084246	-0.010862	-0.996386	-0.003620	0.278018	-0.960569	robot
-0.574682	0.662988	-0.479780	-0.207333	-0.164699	-0.964307	robot
0.974823	-0.145882	-0.168635	-0.986417	-0.131793	-0.098042	robot
0.023886	0.299278	-0.953867	-0.306254	-0.082148	-0.948399	robot
0.166943	0.480295	-0.861073	-0.302215	0.038747	-0.952452	robot
0.028477	-0.181573	-0.982965	-0.101437	0.331445	-0.938006	robot
-0.543377	0.667234	-0.509450	-0.265694	-0.118486	-0.956749	robot
0.979529	-0.136285	-0.148151	-0.987926	-0.126909	-0.088866	robot
0.036659	0.328654	-0.943739	-0.399698	-0.084993	-0.912698	robot
0.105611	0.479808	-0.870994	-0.274923	-0.133515	-0.952151	robot
0.016763	-0.116204	-0.993084	-0.132878	0.300551	-0.944464	robot
-0.590774	0.663445	-0.459159	-0.242268	-0.103724	-0.964649	robot
0.981302	-0.140188	-0.131888	-0.987527	-0.132423	-0.085177	robot
