1,7,window,robot,vent,vent,vent,eachother,robot,robot,robot,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
3,5,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,vent,vent,vent,vent,robot,robot,window,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
2,7,vent,vent,robot,vent,vent,vent,vent,vent,vent,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
5,7,window,vent,eachother,vent,vent,vent,robot,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,eachother,robot,robot,robot,robot,robot
4,7,window,robot,vent,vent,vent,vent,vent,vent,eachother,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,eachother,robot,robot,robot
7,6,robot,robot,window,vent,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
6,5,window,window,window,robot,vent,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,window,robot,robot,robot,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,window,window,window,robot,vent,robot
9,5,window,window,window,window,window,robot,robot,vent,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot
8,7,window,window,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
10,5,robot,robot,robot,robot,vent,vent,vent,vent,vent,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
11,3,robot,robot,robot,robot,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
12,4,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,robot,window,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
13,4,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
14,6,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,window,robot,window,window,robot,robot,robot,window,window,robot,robot,robot,robot,robot,robot
16,7,robot,vent,vent,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,vent,vent,vent,vent,vent,vent,vent,window,window,window,robot,robot,robot,robot,robot,robot
15,6,window,robot,robot,vent,vent,vent,vent,robot,robot,robot,eachother,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,robot,robot,robot,robot,robot
18,5,window,window,window,window,window,robot,vent,vent,robot,robot,vent,vent,robot,robot,robot,robot,robot,robot,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,robot,robot
17,5,window,window,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
19,5,window,window,window,window,robot,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,robot,floor,floor,floor
20,4,robot,robot,robot,robot,vent,vent,vent,vent,vent,robot,vent,window,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,window,window,robot,robot,robot,robot
21,3,robot,robot,robot,robot,vent,vent,vent,vent,vent,robot,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,floor,floor,floor,floor,floor,floor,floor,floor,robot,robot
22,6,window,window,vent,window,robot,vent,vent,vent,vent,vent,robot,floor,floor,floor,floor,floor,floor,robot,window,robot,robot,robot,robot,floor,robot,robot,robot,robot,robot,window,robot,robot,robot,robot,robot
23,5,robot,robot,robot,robot,robot,vent,vent,vent,vent,eachother,eachother,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,window,robot,window,window,window,window,window,window,window,window,window,window,window,robot
24,6,robot,robot,robot,robot,robot,window,vent,vent,vent,vent,robot,robot,robot,floor,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,window,window,window,window,robot,robot,robot
25,2,window,robot,vent,vent,robot,vent,vent,vent,vent,vent,vent,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,window,window,window,window,window,window,window,window,window
26,4,window,window,window,robot,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,vent,vent,window,window,window,window,window,window,window,window,window,window
27,5,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,window,window,robot,robot,window,robot,robot,robot,robot,robot
28,3,robot,robot,robot,vent,vent,robot,vent,vent,vent,vent,vent,floor,floor,window,robot,robot,robot,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,robot,robot,robot,robot,robot
31,6,robot,robot,robot,robot,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,window,window,robot,robot,robot,robot
29,6,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
30,5,robot,robot,vent,vent,vent,robot,vent,vent,vent,vent,vent,vent,robot,robot,window,window,robot,robot,robot,floor,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
33,3,robot,robot,robot,robot,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
34,6,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
32,5,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
