1,7,a,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,robot,robot,vent,robot,robot,robot,robot,robot,robot,robot,robot,window,window,window,window,window,window,vent,vent,vent,vent,eachother,robot,robot,robot,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
3,5,c,window,window,window,window,window,window,window,window,window,window,robot,robot,robot,robot,robot,robot,robot,window,window,window,window,window,window,window,window,robot,robot,robot,left,robot,left,left,left,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,vent,vent,vent,vent,robot,robot,window,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
2,7,b,robot,window,window,window,window,window,window,window,window,window,window,window,robot,robot,window,window,window,window,window,window,window,window,window,window,window,window,robot,window,window,window,window,window,window,window,window,window,robot,robot,robot,vent,vent,vent,vent,vent,vent,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
5,7,e,window,window,window,window,window,window,window,window,window,window,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,robot,robot,vent,vent,vent,robot,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,eachother,robot,robot,robot,robot,robot
4,7,d,window,window,window,window,window,window,window,window,window,window,window,window,window,window,robot,robot,left,robot,robot,window,window,window,window,window,robot,robot,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,eachother,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,eachother,robot,robot,robot
7,6,b,robot,robot,robot,robot,robot,robot,robot,robot,window,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,vent,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
6,5,a,window,window,window,robot,window,robot,robot,robot,window,window,window,window,window,robot,robot,window,window,window,window,window,robot,robot,robot,left,left,vent,robot,robot,window,window,window,window,window,window,robot,robot,window,window,window,robot,vent,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,window,robot,robot,robot,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,window,window,window,robot,vent,robot
9,5,d,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,window,window,window,window,window,window,window,window,robot,robot,vent,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot
8,7,c,window,window,window,window,window,window,window,window,window,robot,window,window,window,window,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,window,window,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
10,5,a,window,window,window,robot,window,window,window,window,window,window,window,robot,robot,robot,robot,window,window,window,window,window,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,vent,vent,vent,vent,vent,robot,robot,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,vent,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot,robot
